업소명,업종,도로명주소,지번주소,위도,경도,전화번호,기준일자
외식중학교,한식,"경기도 수원시 권선구 매송고색로 634-17, 1~2층 (고색동)",경기도 수원시 권선구 고색동 914-38 1~2층 ,37.24620326,126.9735163,031-227-3988,2024-08-27
육콩(벤처밸리점),한식,"경기도 수원시 권선구 산업로156번길 142-10, 수원벤처밸리∥ 1층 101호 (고색동)",경기도 수원시 권선구 고색동 1152 수원벤처밸리∥ ,37.23844501,126.9864564,031-5182-8108,2024-08-27
이서방 왕 족발보쌈 수원본점,한식,경기도 수원시 권선구 세권로 134 (세류동),경기도 수원시 권선구 세류동 1075-10 ,37.25679331,127.0190138,031-233-5515,2024-08-27
인계쭈꾸미앤감자탕,한식,경기도 수원시 권선구 권선로 667 (권선동),경기도 수원시 권선구 권선동 1020-3 SONOHEIM ,37.26015015,127.0244275,031-234-1130,2024-08-27
제주청정돼지,한식,"경기도 수원시 권선구 세권로316번길 12-9 (권선동,(온수골1길5))",경기도 수원시 권선구 권선동 1290-5 (온수골1길5) ,37.25133701,127.0373252,031-224-1106,2024-08-27
종가집추어탕,한식,경기도 수원시 권선구 동수원로146번길 233-25 (곡반정동),경기도 수원시 권선구 곡반정동 551-4 ,37.23939717,127.0317745,031-234-3454,2024-08-27
차이,중식,경기도 수원시 권선구 하탑로 7 (탑동),경기도 수원시 권선구 탑동 818-3 ,37.26861385,126.9724419,031-278-2490,2024-08-27
초암골,한식,"경기도 수원시 권선구 권선로713번길 20 (권선동,가동)",경기도 수원시 권선구 권선동 1015-2 가동 ,37.25941885,127.0299733,031-222-2662,2024-08-27
태흥장어,한식,"경기도 수원시 권선구 곡반정로 58, 2층 (곡반정동)",경기도 수원시 권선구 곡반정동 339-3 ,37.23388172,127.0284758,031-233-0592,2024-08-27
한끼나주곰탕,한식,"경기도 수원시 권선구 서부로 1369, 1층 (오목천동)",경기도 수원시 권선구 오목천동 764 ,37.23189551,126.9838026,,2024-08-27
한상,한식,"경기도 수원시 권선구 칠보로88번길 50, 1층 (호매실동)",경기도 수원시 권선구 호매실동 666-2 ,37.26481422,126.9471518,031-296-5550,2024-08-27
한우이야기,한식,"경기도 수원시 권선구 서수원로594번길 139, 1층 (입북동)",경기도 수원시 권선구 입북동 796-11 ,37.28121908,126.9610303,031-291-5024,2024-08-27
해담맛집코다리마을,한식,"경기도 수원시 권선구 일월천로4번길 10 (구운동,1층, 2층)","경기도 수원시 권선구 구운동 919-2 1층, 2층 ",37.28237699,126.972902,031-292-1191,2024-08-27
화성궁,한식,"경기도 수원시 권선구 덕영대로1368번길 84 (곡반정동,번지 외 1필지)",경기도 수원시 권선구 곡반정동 111-2 번지 외 1필지 ,37.24184718,127.0377013,031- 221-8855,2024-08-27
가보정 1관,한식,경기도 수원시 팔달구 장다리로 282 (인계동),경기도 수원시 팔달구 인계동 958-1 지하1층~지상4층 ,37.27422832,127.0287089,1600-3883,2024-08-27
가보정 2관,한식,경기도 수원시 팔달구 장다리로 281 (인계동),경기도 수원시 팔달구 인계동 956-14 ,37.27449408,127.0281642,1600-3883,2024-08-27
강원도막국수,한식,경기도 수원시 팔달구 갓매산로 70 (고등동),경기도 수원시 팔달구 고등동 300-14 ,37.27002345,127.0032619,031-252-6677,2024-08-27
고기랑,한식,경기도 수원시 팔달구 권광로196번길 49 (인계동),경기도 수원시 팔달구 인계동 1116-6 1~2층 ,37.26451557,127.0358996,031-221-6780,2024-08-27
고등반점,중식,경기도 수원시 팔달구 팔달로52번길 43 (고등동),경기도 수원시 팔달구 고등동 139-27 ,37.27505522,127.0030893,031-251-3291,2024-08-27
곤드레밥집,한식,"경기도 수원시 팔달구 권광로134번길 12, 2,3층 (인계동)","경기도 수원시 팔달구 인계동 1132-8 2,3층 ",37.25933412,127.0318035,031-238-2522,2024-08-27
궁궐삼계탕,한식,경기도 수원시 팔달구 향교로 53 (매산로2가),경기도 수원시 팔달구 매산로2가 8-6 ,37.26959351,127.0066285,031-243-4471,2024-08-27
긴자,일식,경기도 수원시 팔달구 경수대로 494 (인계동),경기도 수원시 팔달구 인계동 950-9 ,37.26994441,127.0283667,031-236-7771,2024-08-27
길림성인계점,중식,경기도 수원시 팔달구 권광로 277 (인계동),경기도 수원시 팔달구 인계동 369-4 ,37.27213003,127.0354888,031-111-1122,2024-08-27
김사장아구찜,한식,경기도 수원시 팔달구 경수대로 716 (우만동),경기도 수원시 팔달구 우만동 472-7 ,37.28909895,127.0261512,031-256-5292,2024-08-27
깡우동인계점,분식,경기도 수원시 팔달구 효원로265번길 41 (인계동),경기도 수원시 팔달구 인계동 1043-9 ,37.26394228,127.0312896,,2024-08-27
나고야스시덕,한식,"경기도 수원시 팔달구 권광로175번길 31-12, 2층 (인계동)",경기도 수원시 팔달구 인계동 1044-2 ,37.26333103,127.0302036,031-237-8888,2024-08-27
낙지대감,한식,경기도 수원시 팔달구 수성로157번길 27-21 (화서동),경기도 수원시 팔달구 화서동 682-1 ,37.28760998,126.9886443,031-269-0227,2024-08-27
다림,한식,"경기도 수원시 팔달구 정조로800번길 24, 2층 (남수동)",경기도 수원시 팔달구 남수동 112-3 ,37.27946915,127.0181308,031-255-2847,2024-08-27
다올,한식,"경기도 수원시 팔달구 효원로 28, 1층 (매산로3가)",경기도 수원시 팔달구 매산로3가 127-1 ,37.27100223,127.0088227,031-223-1718,2024-08-27
담평추어탕감자탕,한식,"경기도 수원시 팔달구 향교로 117-1, 1층 (교동)","경기도 수원시 팔달구 교동 21-1 ,1층 ",37.27203982,127.0132436,031-255-7261,2024-08-27
대성농장생오리,한식,경기도 수원시 팔달구 인계로 53 (인계동),경기도 수원시 팔달구 인계동 871-5 ,37.26951563,127.0237448,031-235-0009,2024-08-27
동천홍,중식,경기도 수원시 팔달구 매산로130번길 12 (매교동),경기도 수원시 팔달구 매교동 26-9 ,37.27128265,127.0150153,031-224-2888,2024-08-27
두꺼비집,한식,경기도 수원시 팔달구 향교로 100 (매산로3가),경기도 수원시 팔달구 매산로3가 45-1 ,37.2711406,127.0113688,031-242-4267,2024-08-27
바다예찬,일식,경기도 수원시 팔달구 효원로249번길 18-5 (인계동),경기도 수원시 팔달구 인계동 1044-21 ,37.263472,127.030007,031-224-8959,2024-08-27
밥술앤꽃게야,한식,경기도 수원시 팔달구 팔달문로150번길 16 (우만동),경기도 수원시 팔달구 우만동 553-5 ,37.28208835,127.0325793,,2024-08-27
백청우칼국수,한식,"경기도 수원시 팔달구 장다리로 253, 2층 (인계동)",경기도 수원시 팔달구 인계동 267-1 ,37.27238103,127.0267062,031-239-2009,2024-08-27
석산민물매운탕,한식,"경기도 수원시 팔달구 세지로198번길 41, 1층 (인계동)",경기도 수원시 팔달구 인계동 976-3 ,37.26836199,127.0252035,031-233-8145,2024-08-27
선창민물장어전문점,한식,"경기도 수원시 팔달구 팔달로 123-4 (화서동, 1,2층)","경기도 수원시 팔달구 화서동 71-84 1,2층 ",37.27990892,127.0038858,031-242-5088,2024-08-27
수원회관,한식,경기도 수원시 팔달구 효원로219번길 46-21 (인계동),경기도 수원시 팔달구 인계동 1025-5 1층 ,37.26520367,127.0279863,031-222-1919,2024-08-27
씨제이푸드빌(주)빕스수원역사점,양식,"경기도 수원시 팔달구 덕영대로 924, 3층 (매산로1가)",경기도 수원시 팔달구 매산로1가 18 3층 ,37.26567687,127.0000961,031-240-1997,2024-08-27
씨제이푸드빌(주)빕스아주대점,양식,경기도 수원시 팔달구 중부대로 233 (우만동),경기도 수원시 팔달구 우만동 90 외 3필지 ,37.27584291,127.0416893,031-216-1997,2024-08-27
양평해장국,한식,"경기도 수원시 팔달구 경수대로466번길 51, 101호 (인계동)",경기도 수원시 팔달구 인계동 1035-10 101호,37.267134,127.0300705,031-221-0236,2024-08-27
연포갈비,한식,경기도 수원시 팔달구 정조로906번길 56-5 (북수동),경기도 수원시 팔달구 북수동 25-3 ,37.28760304,127.0167097,031-255-1337,2024-08-27
영천두툼이숯불갈비냉면,한식,경기도 수원시 팔달구 경수대로480번길 3 (인계동),경기도 수원시 팔달구 인계동 950-5 ,37.26907389,127.0280557,031-225-3300,2024-08-27
영화루,중식,경기도 수원시 팔달구 정조로791번길 3 (팔달로2가),경기도 수원시 팔달구 팔달로2가 90-3 ,37.27854314,127.016362,031-255-6925,2024-08-27
왕꼼장어,일식,경기도 수원시 팔달구 향교로 49-1 (매산로2가),경기도 수원시 팔달구 매산로2가 7-11 ,37.26948621,127.0063549,031-246-6996,2024-08-27
원도토리마을,한식,경기도 수원시 팔달구 덕영대로757번길 7 (화서동),경기도 수원시 팔달구 화서동 220-7 ,37.27999638,126.993393,031-241-7900,2024-08-27
육전국밥 수원화서역점,한식,경기도 수원시 팔달구 수성로157번길 43 (화서동),경기도 수원시 팔달구 화서동 677-6 ,37.28800693,126.9890829,031-269-8686,2024-08-27
이가네,한식,"경기도 수원시 팔달구 매산로116번길 28-2, 1층 (교동)",경기도 수원시 팔달구 교동 142-23 1층 ,37.27006062,127.0138329,,2024-08-27
정통춘천닭갈비,한식,경기도 수원시 팔달구 수성로157번길 5-9 (화서동),경기도 수원시 팔달구 화서동 681-8 ,37.28631905,126.9894568,031-269-5949,2024-08-27
조선삼계탕,한식,"경기도 수원시 팔달구 인계로166번길 48-21 (인계동, 샤르망오피스텔 201호)",경기도 수원시 팔달구 인계동 1119 샤르망오피스텔 201호 ,37.26460559,127.0334236,031-232-3341,2024-08-27
주식회사 본수원,한식,경기도 수원시 팔달구 중부대로223번길 41 (우만동),"경기도 수원시 팔달구 우만동 51-20 51-20번지외3필지(103-4,100-19,104) ",37.27801433,127.0406586,031-211-8434,2024-08-27
채상궁,한식,"경기도 수원시 팔달구 수성로157번길 5-7, 1층 (화서동)",경기도 수원시 팔달구 화서동 680-3 1층 ,37.28618752,126.9896964,031-269-8600,2024-08-27
토시래 수원역점,한식,경기도 수원시 팔달구 향교로 15-1 (매산로1가),경기도 수원시 팔달구 매산로1가 37-15 ,37.26815488,127.0028508,031-257-7825,2024-08-27
팔덕식당 수원직영점,한식,경기도 수원시 팔달구 경수대로519번길 12-10 (인계동),경기도 수원시 팔달구 인계동 959-6 ,37.27295336,127.0282812,031-234-2356,2024-08-27
한국관,한식,경기도 수원시 팔달구 권선로741번길 16-8 (인계동),경기도 수원시 팔달구 인계동 1134-1 ,37.2581804,127.0329043,031-217-8889,2024-08-27
행화촌,중식,경기도 수원시 팔달구 권광로180번길 42-7 (인계동),경기도 수원시 팔달구 인계동 1122-1 ,37.26258447,127.0352372,031-239-4900,2024-08-27
화서염소탕,한식,"경기도 수원시 팔달구 수성로157번길 27-4, 103호 (화서동, 우영프라자)",경기도 수원시 팔달구 화서동 678-2 우영프라자 103호,37.28746598,126.9893684,031-269-5798,2024-08-27
(유)아웃백스테이크하우스코리아 광교점,양식,"경기도 수원시 영통구 광교중앙로 140, 수원컨벤션센터 1층 (하동)",경기도 수원시 영통구 하동 855-2 수원컨벤션센터 ,37.28582866,127.0594469,031-267-0911,2024-08-27
가원,한식,"경기도 수원시 영통구 영통로 277-3 (신동,2층,3층)","경기도 수원시 영통구 신동 359-1 2층,3층 ",37.25117919,127.0594863,031-204-1771,2024-08-27
경복궁,한식,"경기도 수원시 영통구 반달로 31 (영통동, 1009-3 호원빌딩 201호)",경기도 수원시 영통구 영통동 1009-3 호원빌딩 201호 ,37.25106876,127.0759666,031-205-7778,2024-08-27
고기가살살녹소,한식,"경기도 수원시 영통구 태장로54번길 64-1 (망포동,1층)",경기도 수원시 영통구 망포동 650-43 1층 ,37.23635486,127.051351,031-203-6200,2024-08-27
고기까페 엠쿡,한식,"경기도 수원시 영통구 매영로345번길 7, 2층 201호 (영통동)",경기도 수원시 영통구 영통동 961-6 영통트리플렉스 201호,37.25276901,127.0709009,031-202-6992,2024-08-27
고베맨숀,한식,경기도 수원시 영통구 대학1로58번길 6 (이의동),경기도 수원시 영통구 이의동 1262-1 ,37.29933255,127.0457992,031-215-4695,2024-08-27
광교벌교집 광교점,한식,"경기도 수원시 영통구 광교중앙로266번길 30, 그랜드프라자 2층 211,212호 (하동)","경기도 수원시 영통구 하동 984 그랜드프라자, 2층  211,212호 ",37.2923086,127.0687161,031-214-0606,2024-08-27
굴비한두름,한식,"경기도 수원시 영통구 법조로149번길 230, 1층 (하동)",경기도 수원시 영통구 하동 958-6 1층 ,37.29396032,127.0699027,031-211-4744,2024-08-27
궁돈보쌈,한식,"경기도 수원시 영통구 영통로241번길 12-35 (신동, 342-5외 3필지)",경기도 수원시 영통구 신동 342-5 외 3필지 ,37.24943727,127.0578881,031-203-9399,2024-08-27
남경,중식,"경기도 수원시 영통구 매탄로108번길 52, 로진프라자 101,102,103,104호 (매탄동)",경기도 수원시 영통구 매탄동 1266-3 로진프라자 ,37.259432,127.0452854,031-214-7667,2024-08-27
남도,일식,"경기도 수원시 영통구 영통로217번길 21, 2층 (영통동)",경기도 수원시 영통구 영통동 978-2 ,37.24663954,127.0557967,031-235-4777,2024-08-27
도봉산갈비,한식,"경기도 수원시 영통구 매탄로100번길 7-6 (매탄동, 1263-1)",경기도 수원시 영통구 매탄동 1263-1 ,37.25976151,127.0438571,031-217-6066,2024-08-27
동산참숯갈비,한식,"경기도 수원시 영통구 영통로 305 (매탄동, 551-1)",경기도 수원시 영통구 매탄동 551-1 ,37.25343787,127.0615407,031-216-2772,2024-08-27
동수원갈비,한식,"경기도 수원시 영통구 영통로 237, 에이스 하이엔드 타워 영통 지하2층 B207~B208호 (신동)",경기도 수원시 영통구 신동 338 에이스 하이엔드 타워 영통 ,37.24866785,127.0570044,031-206-2822,2024-08-27
두꺼비집,한식,경기도 수원시 영통구 반달로 32 (영통동),경기도 수원시 영통구 영통동 1008-11 ,37.25087823,127.0754811,031-202-4267,2024-08-27
먹고보리,한식,경기도 수원시 영통구 웰빙타운로36번길 46-107 (이의동),경기도 수원시 영통구 이의동 1216-5 ,37.30899894,127.0517204,031-214-9952,2024-08-27
바나나테이블,외국음식전문점,"경기도 수원시 영통구 센트럴타운로 85, 203동 B102,B105호 (이의동, 아브뉴프랑)","경기도 수원시 영통구 이의동 1332 아브뉴프랑 B102gh, B105 203동 ",37.29156767,127.0504709,031-215-0008,2024-08-27
박경규항아리보쌈,한식,"경기도 수원시 영통구 센트럴파크로127번길 41 (이의동, 1층)",경기도 수원시 영통구 이의동 1312 1층 ,37.29453354,127.0541088,031-212-0101,2024-08-27
밥풀떼기,한식,"경기도 수원시 영통구 청명남로28번길 20, 플러스타운빌딩 2층 208호 (영통동)",경기도 수원시 영통구 영통동 1009-2 플러스타운빌딩 ,37.25145875,127.0759359,031-202-0444,2024-08-27
버들치,한식,"경기도 수원시 영통구 웰빙타운로36번길 46-252, 2층 (이의동)",경기도 수원시 영통구 이의동 1222-5 ,37.31205956,127.054372,031-212-8989,2024-08-27
보림돼지갈비,한식,"경기도 수원시 영통구 센트럴타운로 15, 1층 106,107,108호 (이의동, 아이플렉스)","경기도 수원시 영통구 이의동 1335 아이플렉스 106,107,108호 ",37.28821915,127.0573744,031-211-0637,2024-08-27
복방글,일식,"경기도 수원시 영통구 매탄로108번길 16, 엔타운 3층 301호 (매탄동)",경기도 수원시 영통구 매탄동 1262-2 엔타운 ,37.25998951,127.0442511,031-216-5007,2024-08-27
비금도,일식,경기도 수원시 영통구 청명로21번길 20 (영통동),경기도 수원시 영통구 영통동 1029-8 ,37.25033654,127.079304,031-206-3733,2024-08-27
삼국지제철수산,한식,"경기도 수원시 영통구 영통로 136 (망포동,211호,212호)","경기도 수원시 영통구 망포동 386 211호,212호 ",37.23961746,127.0563052,031-205-7351,2024-08-27
샤브향,한식,"경기도 수원시 영통구 청명남로 39 (영통동,럭셔리프라자 (206호, 207호))","경기도 수원시 영통구 영통동 998-9 럭셔리프라자 (206호, 207호) ",37.25322241,127.075711,031-204-2223,2024-08-27
서린낙지,한식,"경기도 수원시 영통구 동수원로 515 (매탄동,외4필지 2층)",경기도 수원시 영통구 매탄동 101-2 외4필지 2층 ,37.2732508,127.0467598,031-215-5725,2024-08-27
서울24시감자탕해장국,한식,"경기도 수원시 영통구 덕영대로 1485 (망포동, 28-9,2~3층)",경기도 수원시 영통구 망포동 28-9 2~3층 ,37.24599747,127.0532276,031-206-2324,2024-08-27
선가,한식,"경기도 수원시 영통구 산남로 8, 2층 (매탄동)",경기도 수원시 영통구 매탄동 834-16 ,37.26434459,127.0473335,031-213-0202,2024-08-27
소곱친구,한식,"경기도 수원시 영통구 효원로 393, 밀래니엄프라자 2층 202,203호 (매탄동)",경기도 수원시 영통구 매탄동 1267-5 밀래니엄프라자 ,37.2591165,127.0446949,0507-1389-3349,2024-08-27
신라갈비,한식,"경기도 수원시 영통구 동수원로 538 (원천동, 89-7)",경기도 수원시 영통구 원천동 89-7 ,37.27375032,127.0492296,031-212-2354,2024-08-27
엄지민물매운탕,한식,"경기도 수원시 영통구 영통로217번길 11 (영통동, 978-5 1층)",경기도 수원시 영통구 영통동 978-5 1층 ,37.24666007,127.0564101,031-203-2581,2024-08-27
연평도원조꽃게,한식,"경기도 수원시 영통구 권선로 923 (신동, 503-7)",경기도 수원시 영통구 신동 503-7 ,37.24786541,127.0477769,031-205-1233,2024-08-27
영동갈비,일식,"경기도 수원시 영통구 청명남로34번길 21, 영통 테라스가든 주차빌딩 2층 211,212호 (영통동)",경기도 수원시 영통구 영통동 1011-5 ,37.25232684,127.076726,031-205-9998,2024-08-27
영통복요리,일식,"경기도 수원시 영통구 청명로59번길 45-23 (영통동, 1027-17)",경기도 수원시 영통구 영통동 1027-17 ,37.25020615,127.0803861,031-204-0003,2024-08-27
우판등심수원점,한식,"경기도 수원시 영통구 권선로908번길 10 (신동, 우판등심수원점)",경기도 수원시 영통구 신동 529-14 우판등심수원점 ,37.24843568,127.0454805,031-204-0086,2024-08-27
정성한우 정육식당,한식,"경기도 수원시 영통구 반달로 21(영통동, 매직프라자 206호)",경기도 수원시 영통구 영통동 1009-6 매직프라자 206호 ,37.25163151,127.0750439,031-202-9295,2024-08-27
제주할망돈가,한식,"경기도 수원시 영통구 동탄지성로 454-11, 1층 (망포동)",경기도 수원시 영통구 망포동 668-5 1층 ,37.23325972,127.0471277,031-252-5292,2024-08-27
지호한방삼계탕,한식,"경기도 수원시 영통구 청명남로28번길 2 (영통동, 1009-1 아이텐텐빌딩 203호)",경기도 수원시 영통구 영통동 1009-1 아이텐텐빌딩 203호 ,37.25190413,127.0752437,031-203-8533,2024-08-27
착한고기 광교점,한식,"경기도 수원시 영통구 대학로 14, 2층 (이의동)",경기도 수원시 영통구 이의동 1275-9 ,37.29783641,127.0423157,031-217-9234,2024-08-27
천지연 신영통점,한식,"경기도 수원시 영통구 봉영로 1377, 1,2층 (망포동, 주건축물제2동 )",경기도 수원시 영통구 망포동 482-4 ,37.23739777,127.0604333,031-202-5502,2024-08-27
청하생고기,한식,"경기도 수원시 영통구 효원로 393, 2층 (매탄동, 밀래니엄프라자)",경기도 수원시 영통구 매탄동 1267-5 외1필지 밀래니엄프라자 ,37.2591165,127.0446949,031-215-6116,2024-08-27
추오정남원추어탕 광교점,한식,"경기도 수원시 영통구 월드컵로150번길 34, 1층 (원천동)",경기도 수원시 영통구 원천동 572-1 1층 ,37.27852675,127.0502753,031-213-1777,2024-08-27
출출,일식,"경기도 수원시 영통구 반달로 100(영통동, 1037-13 2층전체)",경기도 수원시 영통구 영통동 1037-13 2층전체 ,37.25261649,127.0776194,031-202-1118,2024-08-27
티철판요리,한식,"경기도 수원시 영통구 월드컵로150번길 26, 링크프라자 2층 201호 (원천동)",경기도 수원시 영통구 원천동 572-3 201호,37.27817145,127.0500972,031-233-5428,2024-08-27
하나참치,일식,"경기도 수원시 영통구 청명남로34번길 21, 204,205호 (영통동, 테라스가든)",경기도 수원시 영통구 영통동 1011-5 ,37.25232684,127.076726,031-231-1137,2024-08-27
하누담,한식,"경기도 수원시 영통구 청명남로34번길 21, 208~210호 (영통동)",경기도 수원시 영통구 영통동 1011-5 ,37.25232684,127.076726,031-273-9922,2024-08-27
호수오면돼지,일식,"경기도 수원시 영통구 센트럴파크로 33, 지하1층 B04호 (하동)",경기도 수원시 영통구 하동 1014-2 ,37.28856268,127.0624314,031-217-5353,2024-08-27
홍익돈까스(영통망포점),양식,경기도 수원시 영통구 태장로54번길 102 (망포동),경기도 수원시 영통구 망포동 649-16 ,37.23460835,127.0515738,031-206-3811,2024-08-27
홍천화로구이,한식,"경기도 수원시 영통구 영통로501번길 48-4 (영통동, 951-1)",경기도 수원시 영통구 영통동 951-1 ,37.26534618,127.0766121,031-205-5461,2024-08-27
화포식당,한식,"경기도 수원시 영통구 청명남로 54, 1-2층 (영통동)",경기도 수원시 영통구 영통동 1038-3 ,37.25401868,127.0770922,031-202-6925,2024-08-27
성심옥,한식,"경기도 수원시 영통구 삼성로 176-1, 101호(매탄동)",경기도 수원시 영통구 매탄동 436-38,37.25867,127.0578,0507-1389-3349,2024-08-27
